date,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,horizon,market,date_cashflow,slice
2020-06-30,-33298.359540000005,110994.5318,0.0,0.0,0.0,0.0,0.0,-33298.359540000005,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2021-06-30,0.0,124203.6714,15285.21126179816,7031.197180427153,-3542.945455056,0.0,0.0,3488.2517253711535,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2022-06-30,0.0,136508.678,18316.85211727162,8425.751973944945,-3542.945455056,0.0,0.0,4882.806518888945,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2023-06-30,0.0,122064.9275,15066.426366630729,6930.556128650134,-3542.945455056,0.0,0.0,3387.6106735941344,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2024-06-30,0.0,118642.2593,15553.284443859477,7154.510844175359,-3542.945455056,0.0,0.0,3611.565389119359,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2025-06-30,0.0,123573.6303,15994.974068161391,7357.68807135424,-3542.945455056,-77696.17225999999,123573.6303,49692.20065629826,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2020-06-30,-25350.62724000001,84502.0908,0.0,0.0,0.0,0.0,0.0,-25350.62724000001,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2021-06-30,0.0,94920.4307,13670.443192885932,6288.403868727528,-2697.306738336,0.0,0.0,3591.097130391528,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2022-06-30,0.0,107701.5015,14851.598491869512,6831.735306259975,-2697.306738336,0.0,0.0,4134.428567923975,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2023-06-30,0.0,94680.5389,14824.046987781625,6819.061614379547,-2697.306738336,0.0,0.0,4121.7548760435475,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2024-06-30,0.0,93340.1957,15106.043462240803,6948.779992630769,-2697.306738336,0.0,0.0,4251.4732542947695,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2025-06-30,0.0,98887.2894,15716.663304956977,7229.665120280209,-2697.306738336,-59151.46356,98887.2894,44268.184221944204,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2020-06-30,-15758.704770000004,52529.0159,0.0,0.0,0.0,0.0,0.0,-15758.704770000004,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2021-06-30,0.0,59127.834,9119.357784431053,4194.904580838284,-1676.7261875279999,0.0,0.0,2518.1783933102843,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2022-06-30,0.0,67258.0154,9694.96616809216,4459.684437322393,-1676.7261875279999,0.0,0.0,2782.958249794393,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2023-06-30,0.0,58632.0312,10080.437395007355,4637.001201703383,-1676.7261875279999,0.0,0.0,2960.275014175383,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2024-06-30,0.0,58632.8542,10372.441759197229,4771.323209230725,-1676.7261875279999,0.0,0.0,3094.597021702725,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2025-06-30,0.0,62576.0879,10691.608164045807,4918.139755461071,-1676.7261875279999,-36770.311129999995,62576.0879,29047.190337933076,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2020-06-30,-80104.78311000002,267015.9437,0.0,0.0,0.0,0.0,0.0,-80104.78311000002,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
