date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,horizon,market,date_calculated,slice
2020-06-30,50.0,466.137512207031,530.0,92.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2021-06-30,199.0,665.908203125,755.0,225.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2022-06-30,165.0,831.228698730469,855.0,100.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2023-06-30,-167.0,664.956298828125,855.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2024-06-30,9.0,674.039123535156,855.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2025-06-30,2.76923084259033,675.099792480469,855.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class A
2020-06-30,321.0,13333.58203125,14251.0,258.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2021-06-30,572.0,13905.8046875,14548.0,297.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2022-06-30,37.0,13942.962890625,14853.0,305.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2023-06-30,107.0,14050.302734375,15148.0,295.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2024-06-30,371.0,14420.8115234375,15809.0,661.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2025-06-30,508.076934814453,14851.1064453125,15825.0,149.0769,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class B
2020-06-30,252.0,20299.771484375,21361.0,-38.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2021-06-30,319.0,20619.095703125,21361.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2022-06-30,9.0,20629.203125,21369.0,8.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2023-06-30,-406.0,20225.1953125,21369.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2024-06-30,-7.0,20219.0234375,21369.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2025-06-30,104.846153259277,20304.767578125,21369.0,0.0,5 Yrs (2020-2025),"Akron,Ohio",2020-06-30,Class C
2020-06-30,393.0,3766.724609375,4087.0,387.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2021-06-30,347.0,4113.03955078125,4322.0,235.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2022-06-30,119.0,4232.447265625,4434.0,112.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2023-06-30,-2.0,4230.15576171875,4434.0,0.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2024-06-30,121.0,4350.76171875,4513.0,79.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2025-06-30,246.230773925781,4572.42822265625,4701.0,188.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class A
2020-06-30,1073.0,22114.767578125,23354.0,746.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2021-06-30,1380.0,23484.76171875,24248.0,893.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2022-06-30,621.0,24105.4375,24787.0,539.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2023-06-30,786.0,24891.80859375,26281.0,1494.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2024-06-30,512.0,25404.669921875,26850.0,569.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2025-06-30,945.230773925781,26245.873046875,27760.0,1025.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class B
2020-06-30,199.0,25014.794921875,26050.0,64.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2021-06-30,267.0,25281.392578125,26056.0,6.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2022-06-30,-122.0,25158.94921875,26056.0,0.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2023-06-30,-103.0,25057.986328125,26056.0,0.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2024-06-30,-2.0,25056.048828125,26056.0,0.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2025-06-30,23.3076915740967,25066.697265625,26056.0,0.0,5 Yrs (2020-2025),"Albany,New York",2020-06-30,Class C
2020-06-30,90.0,3409.62133789063,3547.0,58.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2021-06-30,32.0,3442.6328125,3547.0,0.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2022-06-30,51.0,3492.85815429688,3649.0,102.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2023-06-30,-1.0,3492.58837890625,3807.0,158.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2024-06-30,330.0,3822.6083984375,4574.0,767.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2025-06-30,511.923065185547,4291.96728515625,4685.0,111.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class A
2020-06-30,224.0,24185.84375,25445.0,79.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2021-06-30,549.0,24734.63671875,25959.0,514.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2022-06-30,-101.0,24633.908203125,25959.0,0.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2023-06-30,-100.0,24535.205078125,26048.0,89.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2024-06-30,510.0,25045.43359375,27409.0,1361.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2025-06-30,613.307678222656,25537.212890625,27654.0,336.5385,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class B
2020-06-30,227.0,22627.447265625,23890.0,20.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2021-06-30,69.0,22696.658203125,23898.0,8.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2022-06-30,-105.0,22592.01171875,23898.0,0.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2023-06-30,-493.0,22097.79296875,23898.0,0.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2024-06-30,121.0,22220.853515625,23928.0,30.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2025-06-30,34.9230766296387,22188.6796875,23938.0,10.0,5 Yrs (2020-2025),"Albuquerque,New Mexico",2020-06-30,Class C
2020-06-30,6360.0,86421.2734375,99447.0,7507.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2021-06-30,14862.0,101283.265625,110800.0,11353.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2022-06-30,5456.0,106739.8046875,115904.0,5104.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2023-06-30,5979.0,112717.8828125,129415.0,13511.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2024-06-30,10510.0,123227.40625,144071.0,14656.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2025-06-30,12110.845703125,134030.21875,153683.0,11280.8462,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class A
2020-06-30,2387.0,219959.390625,237340.0,2952.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2021-06-30,8262.0,228220.171875,239677.0,2337.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2022-06-30,-2106.0,226114.0,242745.0,3068.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2023-06-30,-1893.0,224222.953125,250051.0,7306.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2024-06-30,5550.0,229772.953125,260444.0,10393.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2025-06-30,9272.23046875,237875.25,269521.0,10760.0769,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class B
2020-06-30,514.0,106460.125,115531.0,-73.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2021-06-30,1367.0,107828.265625,115219.0,-312.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2022-06-30,-1102.0,106723.65625,115203.0,-16.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2023-06-30,-3701.0,103026.515625,115208.0,5.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2024-06-30,-1297.0,101733.8203125,115089.0,-119.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2025-06-30,-892.615356445313,100837.0546875,115088.0,-1.0,5 Yrs (2020-2025),"Atlanta,Georgia",2020-06-30,Class C
2020-06-30,130.0,2258.89819335938,2407.0,0.0,5 Yrs (2020-2025),"Augusta,Georgia",2020-06-30,Class A
2021-06-30,188.0,2446.57421875,2703.0,296.0,5 Yrs (2020-2025),"Augusta,Georgia",2020-06-30,Class A
2022-06-30,150.0,2596.25122070313,2886.0,183.0,5 Yrs (2020-2025),"Augusta,Georgia",2020-06-30,Class A
2023-06-30,267.0,2858.44995117188,3416.0,530.0,5 Yrs (2020-2025),"Augusta,Georgia",2020-06-30,Class A
2024-06-30,294.0,3149.55078125,3678.0,262.0,5 Yrs (2020-2025),"Augusta,Georgia",2020-06-30,Class A
