,date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon,latitude,longitude
0,2020-06-30,2025-06-30,Class A,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702232.1875,110994.5318,77696.17225999999,33298.359540000005,0.02170341351816818,0.06648922897398415,0.045599999999999995,0.02088922897398416,-68.09458136558492,0.1696396156756914,20250.264958548625,1.953923132012402,0.8453495491830499,0.07688861135283176,0.10036824556596402,5 Yrs (2020-2025),41.083064,-81.518485
0,2020-06-30,2025-06-30,Class B,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702232.1875,84502.0908,59151.46356,25350.62724000001,0.03194037237118552,0.08074982661204883,0.0456,0.03514982661204882,-50.189048051833964,0.23119918126232242,24449.39029467065,2.381279858643766,0.9344336235541942,0.021791756842924004,0.02117382828920844,5 Yrs (2020-2025),41.083064,-81.518485
0,2020-06-30,2025-06-30,Class C,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702232.1875,52529.0159,36770.311129999995,15758.704770000004,0.03562333802556106,0.08749851026451785,0.045599999999999995,0.04189851026451786,-55.22049963474288,0.2568369004480666,17615.98853496949,2.5638654703292505,0.9539700825334638,4.921830750159728e-05,7.489164199681042e-05,5 Yrs (2020-2025),41.083064,-81.518485
0,2020-06-30,2025-06-30,Class A,New York,Albany,"Albany,New York",10580,G2-10580,899311.5625,267015.9437,186911.16058999998,80104.78311000002,0.0028719672730772583,0.037253678388019545,0.0456,-0.008346321611980456,-87.74653077125598,0.026651014814960128,-6834.266621174334,1.1370364916383666,0.953741162240242,0.039528990398837394,0.028388289760584495,5 Yrs (2020-2025),42.6511674,-73.754968
0,2020-06-30,2025-06-30,Class B,New York,Albany,"Albany,New York",10580,G2-10580,899311.5625,189164.8564,132415.39948,56749.45692,0.0018906039542523345,0.04552252509543103,0.0456,-7.747490456896933e-05,-91.12723171710996,0.05061328989629854,1272.0015132893968,1.2583381890762422,0.9541187262485321,0.03484600847822805,0.03516990430858624,5 Yrs (2020-2025),42.6511674,-73.754968
0,2020-06-30,2025-06-30,Class C,New York,Albany,"Albany,New York",10580,G2-10580,899311.5625,112474.4282,78732.09973999999,33742.328460000004,0.008456521614043977,0.061107320707996224,0.04560000000000001,0.015507320707996215,-82.72141218185396,0.11775934834448809,11384.279844124809,1.629801374312431,0.9635762114797224,0.00041462919284618316,4.606101568738197e-05,5 Yrs (2020-2025),42.6511674,-73.754968
0,2020-06-30,2025-06-30,Class A,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,916558.0,176824.8502,123777.39513999998,53047.45506000001,0.03311580152129956,0.048568431866865124,0.0456,0.002968431866865122,-37.21356391906801,0.14401962108290345,27332.845963913795,1.8671898322470948,0.9220158917714945,0.04710455916209888,0.05723049456163509,5 Yrs (2020-2025),35.0841034,-106.650985
0,2020-06-30,2025-06-30,Class B,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,916558.0,131358.2289,91950.76022999999,39407.46867,0.042176056305497145,0.05111773385384403,0.04560000000000001,0.00551773385384402,-24.67885613441495,0.1712326087601499,27220.358122754922,2.0847444617069493,0.9381490984917085,0.010933180009138121,0.016789612111107743,5 Yrs (2020-2025),35.0841034,-106.650985
0,2020-06-30,2025-06-30,Class C,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,916558.0,84831.1766,59381.82362,25449.352980000003,0.04430528655789856,0.05806600331234759,0.0456,0.012466003312347589,-25.598034262657027,0.1940945301890964,20987.796037414606,2.2425838820625965,0.9370752412643778,-0.003908624431843033,0.00040151920995934454,5 Yrs (2020-2025),35.0841034,-106.650985
0,2020-06-30,2025-06-30,Class A,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6091848.0,272496.4166,190747.49162,81748.92498000001,0.023209171746839452,0.03586956119179781,0.04560000000000001,-0.0097304388082022,-44.49501633644104,0.08229790628857003,14961.842885748323,1.4710226619977826,0.8819888647088886,0.09173293713426944,0.09095497888623583,5 Yrs (2020-2025),33.7544657,-84.3898151
0,2020-06-30,2025-06-30,Class B,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6091848.0,162694.1038,113885.87266000001,48808.23114,0.041736280126967396,0.049473791918562375,0.0456,0.0038737919185623734,-21.843947470188002,0.16766981587143515,32348.871262021392,2.0487061347417423,0.9109112940381843,0.01578395829149981,0.025756633639719473,5 Yrs (2020-2025),33.7544657,-84.3898151
