date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,horizon,date_calculated,slice
2020-06-30,0.070049487054348,0.0131371719762683,1396.45617675781,0.0448485689406894,110994.5318,0.87950474023819,0.0,,0.0,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2021-06-30,0.0648662447929382,0.0341784134507179,1444.18481445313,0.109154583771704,124203.6714,0.881997644901276,15285.21126179816,0.54,7031.197180427153,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2022-06-30,0.0632534623146057,0.0871573686599731,1570.05615234375,0.0883676789352582,136508.678,0.972197294235229,18316.85211727162,0.54,8425.751973944945,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2023-06-30,0.0731127262115479,0.028221882879734,1614.36608886719,-0.0933520948387427,122064.9275,0.777726650238037,15066.426366630729,0.54,6930.556128650134,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2024-06-30,0.077553391456604,0.01840347237885,1644.07604980469,-0.0290009081990593,118642.2593,0.788349807262421,15553.284443859477,0.54,7154.510844175359,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2025-06-30,0.0768589451909065,0.0453489534556866,1688.10876464844,0.0404957729624188,123573.6303,0.789590418338776,15994.974068161391,0.54,7357.68807135424,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class A
2020-06-30,0.0742136836051941,0.0113288890570402,1102.82543945313,0.0078731255041166,84502.0908,0.935624301433563,0.0,,0.0,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2021-06-30,0.0683242529630661,0.0806915611028671,1191.81408691406,0.111725809323526,94920.4307,0.955856800079346,13670.443192885932,0.54,6288.403868727528,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2022-06-30,0.0656227767467499,0.106222599744797,1318.41174316406,0.136571088799833,107701.5015,0.938730418682098,14851.598491869512,0.54,6831.735306259975,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2023-06-30,0.0764776021242142,0.0101923551410437,1331.84948730469,-0.0610886753275922,94680.5389,0.927535176277161,14824.046987781625,0.54,6819.061614379547,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2024-06-30,0.080665186047554,0.0361653454601765,1380.01623535156,-0.012267599460811,93340.1957,0.912189960479736,15106.043462240803,0.54,6948.779992630769,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2025-06-30,0.0792325884103775,0.0201736558228731,1395.60986328125,0.0603281342196175,98887.2894,0.938458502292633,15716.663304956977,0.54,7229.665120280209,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class B
2020-06-30,0.0839816629886627,0.0338991098105907,752.133605957031,0.0493831727376081,52529.0159,0.950319349765778,0.0,,0.0,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2021-06-30,0.0777131542563438,0.0467428117990494,787.290405273438,0.110804481993435,59127.834,0.965268313884735,9119.357784431053,0.54,4194.904580838284,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2022-06-30,0.0746839791536331,0.0629964992403984,836.886962890625,0.135572775321522,67258.0154,0.965379893779755,9694.96616809216,0.54,4459.684437322393,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2023-06-30,0.0873714238405228,0.0605296678841114,887.54345703125,-0.0641741324748035,58632.0312,0.946473598480225,10080.437395007355,0.54,4637.001201703383,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2024-06-30,0.0913610681891441,0.0292814746499062,913.532043457031,0.0015028998219417,58632.8542,0.946184813976288,10372.441759197229,0.54,4771.323209230725,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2025-06-30,0.089503712952137,0.0303368754684925,937.665588378906,0.069672918664355,62576.0879,0.950197339057922,10691.608164045807,0.54,4918.139755461071,"Akron,Ohio",5 Yrs (2020-2025),2020-06-30,Class C
2020-06-30,0.0620458200573921,0.0147833479568362,1625.39929199219,0.0458285925572071,267015.9437,0.921635568141937,0.0,,0.0,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2021-06-30,0.0573907233774662,0.0593648590147495,1721.89086914063,0.113741366102725,298503.8472,0.951651930809021,19663.689243121244,0.54,9045.29705183577,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2022-06-30,0.0576627030968666,0.0696522817015648,1841.82446289063,0.0347288238791738,309227.8044,0.954543888568878,21097.227418426883,0.54,9704.724612476366,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2023-06-30,0.0662684217095375,0.0305093880742788,1898.01745605469,-0.107738958031178,276735.3515,0.954026997089386,21729.1187282771,0.54,9995.394615007464,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2024-06-30,0.0710545182228088,0.0183091666549444,1932.7685546875,-0.0437751056242502,262899.6292,0.964050948619843,22359.448303309047,0.54,10285.346219522162,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2025-06-30,0.0708204731345177,0.0346132181584835,1994.00451660156,0.0296896805958405,270872.3363,0.972650170326233,23273.625992445424,0.54,10705.867956524895,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class A
2020-06-30,0.0661794766783714,0.0278029944747686,1399.41528320313,0.0577897320271931,189164.8564,0.946937024593353,0.0,,0.0,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2021-06-30,0.0614764764904976,0.0543687976896763,1475.49975585938,0.102261859170971,209219.8457,0.968523621559143,17148.676405854694,0.54,7888.391146693159,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2022-06-30,0.0615532547235489,0.0831139609217644,1598.13439941406,0.0407405305042583,218529.2627,0.972503185272217,18650.289527079298,0.54,8579.133182456477,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2023-06-30,0.0703728273510933,0.0410657860338688,1663.76306152344,-0.102760219805484,195939.3715,0.947140872478485,18909.815972265435,0.54,8698.515347242099,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2024-06-30,0.0755801424384117,0.0228524040430784,1701.78405761719,-0.0479060323081349,185543.925,0.946170210838318,19322.128567163338,0.54,8888.179140895134,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2025-06-30,0.0752921998500824,0.0209012180566788,1724.89526367188,0.0276964236855615,190959.8098,0.945456564426422,19569.762599839472,0.54,9002.090795926157,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class B
2020-06-30,0.0741883516311646,0.0400482378900051,1117.87463378906,0.0632387951858584,112474.4282,0.96026086807251,0.0,,0.0,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2021-06-30,0.0685020685195923,0.0256707239896059,1146.5712890625,0.11113042776972,125594.5256,0.970271468162537,13349.824895900214,0.54,6140.919452114098,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2022-06-30,0.0683565139770508,0.0752576887607574,1232.85961914063,0.0358879087417273,130616.488,0.9655721783638,14284.979376844596,0.54,6571.090513348514,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2023-06-30,0.0777730122208595,0.060001440346241,1306.8330078125,-0.0876260309636788,119177.8289,0.961697340011597,15081.33392943163,0.54,6937.4136075385495,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2024-06-30,0.0831266865134239,0.0466006919741631,1367.73229980469,-0.0420943157819764,113478.8638,0.961622953414917,15782.91328342995,0.54,7260.140110377777,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2025-06-30,0.08246049284935,0.0310996770858765,1403.93762207031,0.0333837694481761,117311.257,0.962031662464142,16207.589334675056,0.54,7455.491093950525,"Albany,New York",5 Yrs (2020-2025),2020-06-30,Class C
2020-06-30,0.0541529096662998,0.0276348534971476,1344.85949707031,0.0989074339813145,176824.8502,0.961269080638885,0.0,,0.0,"Albuquerque,New Mexico",5 Yrs (2020-2025),2020-06-30,Class A
2021-06-30,0.0488378070294857,0.162134110927582,1562.90710449219,0.182515421744313,208794.9662,0.970575928688049,18203.040172747882,0.54,8373.398479464026,"Albuquerque,New Mexico",5 Yrs (2020-2025),2020-06-30,Class A
